ابب
ابد
ابق
ابل
ابو
ابي
اتي
اثث
اثر
اثل
اثم
اجج
اجر
اجل
احد
اخذ
اخر
اخو
ادد
ادي
اذن
اذي
ارب
ارض
ارك
ازر
ازز
ازف
اسر
اسس
اسف
اسن
اسو
اشر
اصر
اصل
افف
افق
افك
افل
اكل
الت
الف
الل
الم
اله
الو
امت
امد
امر
امل
امم
امن
امو
انث
انس
انف
انم
اني
اهل
اوب
اود
اول
اوه
اوي
ايد
ايم
ايي
ب
بار
باس
بتر
بتك
بتل
بثث
بجس
بحث
بحر
بخس
بخع
بخل
بدا
بدر
بدع
بدل
بدن
بدو
بذر
برا
برج
برح
برد
برر
برز
برص
برق
برك
برم
برهن
بزغ
بسر
بسس
بسط
بسق
بسل
بسم
بشر
بصر
بصل
بضع
بطا
بطر
بطش
بطل
بطن
بعث
بعثر
بعد
بعر
بعض
بعل
بغت
بغض
بغل
بغي
بقر
بقع
بقل
بقي
بكر
بكم
بكي
بلد
بلس
بلع
بلغ
بلو
بنن
بني
بهت
بهج
بهل
بهم
بوا
بوب
بور
بول
بيت
بيد
بيض
بيع
بين
ت
تبب
تبر
تبع
تجر
تحت
ترب
ترف
ترق
ترك
تسع
تعس
تفث
تقن
تلل
تلو
تمم
توب
تور
تين
تيه
ث
ثبت
ثبر
ثبط
ثبي
ثجج
ثخن
ثرب
ثري
ثعب
ثقب
ثقف
ثقل
ثلث
ثلل
ثمر
ثمن
ثني
ثوب
ثور
ثوي
ثيب
ج
جار
جبب
جبت
جبر
جبل
جبن
جبه
جبي
جثث
جثم
جثو
جحد
جحم
جدث
جدد
جدر
جدل
جذذ
جذع
جذو
جرح
جرد
جرر
جرز
جرع
جرف
جرم
جري
جزا
جزع
جزي
جسد
جسس
جسم
جعل
جفا
جفن
جفو
جلب
جلد
جلس
جلل
جلو
جمح
جمد
جمع
جمل
جمم
جنب
جنح
جند
جنف
جنن
جني
جهد
جهر
جهز
جهل
جوب
جود
جور
جوز
جوس
جوع
جوف
جوو
جيا
جيب
جيد
ح
حبب
حبر
حبس
حبط
حبك
حبل
حتم
حثث
حجب
حجج
حجر
حجز
حدب
حدث
حدد
حدق
حذر
حرب
حرث
حرج
حرد
حرر
حرس
حرص
حرض
حرف
حرق
حرك
حرم
حري
حزب
حزن
حسب
حسد
حسر
حسس
حسم
حسن
حشر
حصب
حصحص
حصد
حصر
حصل
حصن
حصي
حضر
حضض
حطب
حطط
حطم
حظر
حظظ
حفد
حفر
حفظ
حفف
حفو
حقب
حقف
حقق
حكم
حلف
حلق
حلل
حلم
حلي
حما
حمد
حمر
حمل
حمم
حمي
حنث
حنجر
حنذ
حنف
حنك
حنن
حوب
حوت
حوج
حوذ
حور
حوز
حوش
حوط
حول
حوي
حيث
حيد
حير
حيص
حيض
حيف
حيق
حين
حيي
خ
خبا
خبت
خبث
خبر
خبز
خبط
خبل
خبو
ختر
ختم
خدد
خدع
خدن
خذل
خرب
خرج
خردل
خرر
خرص
خرطم
خرق
خزن
خزي
خسا
خسر
خسف
خشب
خشع
خشي
خصص
خصف
خصم
خضد
خضر
خضع
خطا
خطب
خطط
خطف
خطو
خفت
خفض
خفف
خفي
خلد
خلص
خلط
خلع
خلف
خلق
خلل
خلو
خمد
خمر
خمس
خمص
خمط
خنزر
خنس
خنق
خور
خوض
خوف
خول
خون
خوي
خيب
خير
خيط
خيل
خيم
د
داب
دبب
دبر
دثر
دحر
دحض
دحو
دخر
دخل
دخن
درا
درج
درر
درس
درك
درهم
دري
دسر
دسس
دسو
دعع
دعو
دفا
دفع
دفق
دكك
دلك
دلل
دلو
دمدم
دمر
دمع
دمغ
دمو
دنر
دنو
دهر
دهق
دهم
دهن
دهي
دور
دول
دوم
دون
دين
ذ
ذاب
ذام
ذبب
ذبح
ذبذب
ذخر
ذرا
ذرر
ذرع
ذرو
ذعن
ذقن
ذكر
ذكو
ذلل
ذمم
ذنب
ذهب
ذهل
ذود
ذوق
ذيع
ر
